dist_org_code,dist_name,org_code,name,grade_code,subject_code,test_type,ready,active,inactive,expired,submitted,total_student_count
0339900000,Norwalk-Ontario-Wilton Sch Dis,0339900020,Brookwood Jr/Sr High School,07,EL,section1,,,,,56,56
0339900000,Norwalk-Ontario-Wilton Sch Dis,0339900020,Brookwood Jr/Sr High School,07,MA,section1,56,,,,,56
0339900000,Norwalk-Ontario-Wilton Sch Dis,0339900020,Brookwood Jr/Sr High School,07,MA,section2PT,56,,,,,56
0339900000,Norwalk-Ontario-Wilton Sch Dis,0339900020,Brookwood Jr/Sr High School,08,EL,section1,53,,,,,53
0339900000,Norwalk-Ontario-Wilton Sch Dis,0339900020,Brookwood Jr/Sr High School,08,MA,section1,53,,,,,53
0339900000,Norwalk-Ontario-Wilton Sch Dis,0339900020,Brookwood Jr/Sr High School,08,MA,section2PT,53,,,,,53
0300070000,Abbotsford Sch Dist,0400070020,Abbotsford Elementary,03,EL,section1,56,,,,,56
0300070000,Abbotsford Sch Dist,0400070020,Abbotsford Elementary,03,MA,section1,5,,,,51,56
0300070000,Abbotsford Sch Dist,0400070020,Abbotsford Elementary,03,MA,section2PT,42,,,,14,56
0300070000,Abbotsford Sch Dist,0400070020,Abbotsford Elementary,04,EL,section1,52,,,,,52
0300070000,Abbotsford Sch Dist,0400070020,Abbotsford Elementary,04,MA,section1,,,,,52,52
0300070000,Abbotsford Sch Dist,0400070020,Abbotsford Elementary,04,MA,section2PT,,,,,52,52
0300070000,Abbotsford Sch Dist,0400070020,Abbotsford Elementary,05,EL,section1,48,,,,,48
0300070000,Abbotsford Sch Dist,0400070020,Abbotsford Elementary,05,MA,section1,1,,,,47,48
0300070000,Abbotsford Sch Dist,0400070020,Abbotsford Elementary,05,MA,section2PT,2,,,,46,48
0300070000,Abbotsford Sch Dist,0400070040,Abbotsford Middle/Senior High,06,EL,section1,53,,,,,53
0300070000,Abbotsford Sch Dist,0400070040,Abbotsford Middle/Senior High,06,MA,section1,53,,,,,53
0300070000,Abbotsford Sch Dist,0400070040,Abbotsford Middle/Senior High,06,MA,section2PT,53,,,,,53
0300070000,Abbotsford Sch Dist,0400070040,Abbotsford Middle/Senior High,07,EL,section1,43,,,,,43
0300070000,Abbotsford Sch Dist,0400070040,Abbotsford Middle/Senior High,07,MA,section1,43,,,,,43
0300070000,Abbotsford Sch Dist,0400070040,Abbotsford Middle/Senior High,07,MA,section2PT,43,,,,,43
0300070000,Abbotsford Sch Dist,0400070040,Abbotsford Middle/Senior High,08,EL,section1,54,,,,,55
0300070000,Abbotsford Sch Dist,0400070040,Abbotsford Middle/Senior High,08,MA,section1,55,,,,,55
0300070000,Abbotsford Sch Dist,0400070040,Abbotsford Middle/Senior High,08,MA,section2PT,55,,,,,55
0300140000,Adams-Friendship Area Sch Dist,0400140130,Adams-Friendship Elementary,03,EL,section1,2,,,,62,64
0300140000,Adams-Friendship Area Sch Dist,0400140130,Adams-Friendship Elementary,03,MA,section1,2,,,,62,64
0300140000,Adams-Friendship Area Sch Dist,0400140130,Adams-Friendship Elementary,03,MA,section2PT,41,,1,,22,64
0300140000,Adams-Friendship Area Sch Dist,0400140130,Adams-Friendship Elementary,04,EL,section1,3,,,,75,78
0300140000,Adams-Friendship Area Sch Dist,0400140130,Adams-Friendship Elementary,04,MA,section1,2,,,,76,78
0300140000,Adams-Friendship Area Sch Dist,0400140130,Adams-Friendship Elementary,04,MA,section2PT,44,,,,34,78
0300140000,Adams-Friendship Area Sch Dist,0400140130,Adams-Friendship Elementary,05,EL,section1,4,,,,73,77
0300140000,Adams-Friendship Area Sch Dist,0400140130,Adams-Friendship Elementary,05,MA,section1,5,,,,72,77
0300140000,Adams-Friendship Area Sch Dist,0400140130,Adams-Friendship Elementary,05,MA,section2PT,77,,,,,77
0300140000,Adams-Friendship Area Sch Dist,0400140140,Grand Marsh Elementary,03,EL,section1,3,,,,17,20
0300140000,Adams-Friendship Area Sch Dist,0400140140,Grand Marsh Elementary,03,MA,section1,3,,,,17,20
0300140000,Adams-Friendship Area Sch Dist,0400140140,Grand Marsh Elementary,03,MA,section2PT,3,,2,,15,20
0300140000,Adams-Friendship Area Sch Dist,0400140140,Grand Marsh Elementary,04,EL,section1,1,,,,11,12
0300140000,Adams-Friendship Area Sch Dist,0400140140,Grand Marsh Elementary,04,MA,section1,1,,,,11,12
0300140000,Adams-Friendship Area Sch Dist,0400140140,Grand Marsh Elementary,04,MA,section2PT,12,,,,,12
0300140000,Adams-Friendship Area Sch Dist,0400140140,Grand Marsh Elementary,05,EL,section1,,,,,18,18
0300140000,Adams-Friendship Area Sch Dist,0400140140,Grand Marsh Elementary,05,MA,section1,,,,,18,18
0300140000,Adams-Friendship Area Sch Dist,0400140140,Grand Marsh Elementary,05,MA,section2PT,17,,,,1,18
0300140000,Adams-Friendship Area Sch Dist,0400140200,Roche-A-Cri Elementary,03,EL,section1,,,,,18,18
0300140000,Adams-Friendship Area Sch Dist,0400140200,Roche-A-Cri Elementary,03,MA,section1,,,,,18,18
0300140000,Adams-Friendship Area Sch Dist,0400140200,Roche-A-Cri Elementary,03,MA,section2PT,18,,,,,18
0300140000,Adams-Friendship Area Sch Dist,0400140200,Roche-A-Cri Elementary,04,EL,section1,3,,,,16,19
0300140000,Adams-Friendship Area Sch Dist,0400140200,Roche-A-Cri Elementary,04,MA,section1,2,,,,17,19
0300140000,Adams-Friendship Area Sch Dist,0400140200,Roche-A-Cri Elementary,04,MA,section2PT,2,,,,17,19
0300140000,Adams-Friendship Area Sch Dist,0400140200,Roche-A-Cri Elementary,05,EL,section1,,,1,,28,29
0300140000,Adams-Friendship Area Sch Dist,0400140200,Roche-A-Cri Elementary,05,MA,section1,,,,,29,29
0300140000,Adams-Friendship Area Sch Dist,0400140200,Roche-A-Cri Elementary,05,MA,section2PT,1,,8,,20,29
0300140000,Adams-Friendship Area Sch Dist,0400140210,Adams-Friendship Middle,06,EL,section1,5,,,,104,112
0300140000,Adams-Friendship Area Sch Dist,0400140210,Adams-Friendship Middle,06,MA,section1,5,,1,,106,112
0300140000,Adams-Friendship Area Sch Dist,0400140210,Adams-Friendship Middle,06,MA,section2PT,5,,,,107,112
0300140000,Adams-Friendship Area Sch Dist,0400140210,Adams-Friendship Middle,07,EL,section1,7,,,,111,119
0300140000,Adams-Friendship Area Sch Dist,0400140210,Adams-Friendship Middle,07,MA,section1,6,,,,113,119
0300140000,Adams-Friendship Area Sch Dist,0400140210,Adams-Friendship Middle,07,MA,section2PT,7,,,,112,119
0300140000,Adams-Friendship Area Sch Dist,0400140210,Adams-Friendship Middle,08,EL,section1,5,,,,128,133
0300140000,Adams-Friendship Area Sch Dist,0400140210,Adams-Friendship Middle,08,MA,section1,7,,,,126,133
0300140000,Adams-Friendship Area Sch Dist,0400140210,Adams-Friendship Middle,08,MA,section2PT,9,,,,124,133
0300630000,Albany Sch Dist,0400630020,Albany Elementary,03,EL,section1,,,,,26,26
0300630000,Albany Sch Dist,0400630020,Albany Elementary,03,MA,section1,,,,,26,26
0300630000,Albany Sch Dist,0400630020,Albany Elementary,03,MA,section2PT,,,,1,25,26
0300630000,Albany Sch Dist,0400630020,Albany Elementary,04,EL,section1,1,,,,27,28
0300630000,Albany Sch Dist,0400630020,Albany Elementary,04,MA,section1,1,,,,27,28
0300630000,Albany Sch Dist,0400630020,Albany Elementary,04,MA,section2PT,1,,,,27,28
0300630000,Albany Sch Dist,0400630020,Albany Elementary,05,EL,section1,,,,,1,1
0300630000,Albany Sch Dist,0400630020,Albany Elementary,05,MA,section1,,,,,1,1
0300630000,Albany Sch Dist,0400630020,Albany Elementary,05,MA,section2PT,,,,,1,1
0300630000,Albany Sch Dist,0400630060,Albany Community Middle,05,EL,section1,1,,,,27,28
0300630000,Albany Sch Dist,0400630060,Albany Community Middle,05,MA,section1,1,,,,27,28
0300630000,Albany Sch Dist,0400630060,Albany Community Middle,05,MA,section2PT,1,,,,27,28
0300630000,Albany Sch Dist,0400630060,Albany Community Middle,06,EL,section1,,,,,27,27
0300630000,Albany Sch Dist,0400630060,Albany Community Middle,06,MA,section1,,,,,27,27
0300630000,Albany Sch Dist,0400630060,Albany Community Middle,06,MA,section2PT,,,,,27,27
0300630000,Albany Sch Dist,0400630060,Albany Community Middle,07,EL,section1,,,,,20,20
0300630000,Albany Sch Dist,0400630060,Albany Community Middle,07,MA,section1,,,,,20,20
0300630000,Albany Sch Dist,0400630060,Albany Community Middle,07,MA,section2PT,,,,,20,20
0300630000,Albany Sch Dist,0400630060,Albany Community Middle,08,EL,section1,1,,,,26,27
0300630000,Albany Sch Dist,0400630060,Albany Community Middle,08,MA,section1,1,,,,26,27
0300630000,Albany Sch Dist,0400630060,Albany Community Middle,08,MA,section2PT,1,,,,26,27
0300700000,Algoma Sch Dist,0400700020,Algoma Elementary,03,EL,section1,1,,,,43,44
0300700000,Algoma Sch Dist,0400700020,Algoma Elementary,03,MA,section1,1,,,,43,44
0300700000,Algoma Sch Dist,0400700020,Algoma Elementary,03,MA,section2PT,44,,,,,44
0300700000,Algoma Sch Dist,0400700020,Algoma Elementary,04,EL,section1,,,,,44,44
0300700000,Algoma Sch Dist,0400700020,Algoma Elementary,04,MA,section1,,,,,44,44
0300700000,Algoma Sch Dist,0400700020,Algoma Elementary,04,MA,section2PT,1,,,,43,44
0300700000,Algoma Sch Dist,0400700020,Algoma Elementary,05,EL,section1,3,,,,47,50
0300700000,Algoma Sch Dist,0400700020,Algoma Elementary,05,MA,section1,3,,,,47,50
0300700000,Algoma Sch Dist,0400700020,Algoma Elementary,05,MA,section2PT,3,,,1,46,50
0300700000,Algoma Sch Dist,0400700020,Algoma Elementary,06,EL,section1,,,,,39,38
0300700000,Algoma Sch Dist,0400700020,Algoma Elementary,06,MA,section1,,,,,39,38
0300700000,Algoma Sch Dist,0400700020,Algoma Elementary,06,MA,section2PT,,,,,39,38
0300700000,Algoma Sch Dist,0400700040,Algoma High,07,EL,section1,,,,,42,42
0300700000,Algoma Sch Dist,0400700040,Algoma High,07,MA,section1,,,,,42,42
0300700000,Algoma Sch Dist,0400700040,Algoma High,07,MA,section2PT,,,,,42,42
0300700000,Algoma Sch Dist,0400700040,Algoma High,08,EL,section1,6,,,,47,53
0300700000,Algoma Sch Dist,0400700040,Algoma High,08,MA,section1,6,,,,47,53
0300700000,Algoma Sch Dist,0400700040,Algoma High,08,MA,section2PT,6,,,,47,53
0300840000,Alma Sch Dist,0400840020,Alma Elementary,03,EL,section1,,,,,14,14
0300840000,Alma Sch Dist,0400840020,Alma Elementary,03,MA,section1,14,,,,,14
0300840000,Alma Sch Dist,0400840020,Alma Elementary,03,MA,section2PT,14,,,,,14
0300840000,Alma Sch Dist,0400840020,Alma Elementary,04,EL,section1,,,,,16,16
0300840000,Alma Sch Dist,0400840020,Alma Elementary,04,MA,section1,,,,,16,16
0300840000,Alma Sch Dist,0400840020,Alma Elementary,04,MA,section2PT,,,,,16,16
0300840000,Alma Sch Dist,0400840020,Alma Elementary,05,EL,section1,18,,,,,18
0300840000,Alma Sch Dist,0400840020,Alma Elementary,05,MA,section1,18,,,,,18
0300840000,Alma Sch Dist,0400840020,Alma Elementary,05,MA,section2PT,18,,,,,18
0300840000,Alma Sch Dist,0400840020,Alma Elementary,06,EL,section1,,,,,18,18
0300840000,Alma Sch Dist,0400840020,Alma Elementary,06,MA,section1,,,,,18,18
0300840000,Alma Sch Dist,0400840020,Alma Elementary,06,MA,section2PT,,,,,18,18
0300840000,Alma Sch Dist,0400840020,Alma Elementary,07,EL,section1,,,,,21,21
0300840000,Alma Sch Dist,0400840020,Alma Elementary,07,MA,section1,,,,,21,21
0300840000,Alma Sch Dist,0400840020,Alma Elementary,07,MA,section2PT,,,,,21,21
0300840000,Alma Sch Dist,0400840020,Alma Elementary,08,EL,section1,,,,,21,21
0300840000,Alma Sch Dist,0400840020,Alma Elementary,08,MA,section1,,,,,21,21
0300840000,Alma Sch Dist,0400840020,Alma Elementary,08,MA,section2PT,,,,,21,21
0300910000,Alma Center Sch Dist,0400910070,Lincoln Junior High,07,EL,section1,1,,1,,44,46
0300910000,Alma Center Sch Dist,0400910070,Lincoln Junior High,07,MA,section1,2,,,,44,46
0300910000,Alma Center Sch Dist,0400910070,Lincoln Junior High,07,MA,section2PT,1,,,,45,46
0300910000,Alma Center Sch Dist,0400910070,Lincoln Junior High,08,EL,section1,,,,,45,45
0300910000,Alma Center Sch Dist,0400910070,Lincoln Junior High,08,MA,section1,,,,,45,45
0300910000,Alma Center Sch Dist,0400910070,Lincoln Junior High,08,MA,section2PT,,,,,45,45
0300910000,Alma Center Sch Dist,0400910080,Lincoln Elementary,03,EL,section1,,,,,50,50
0300910000,Alma Center Sch Dist,0400910080,Lincoln Elementary,03,MA,section1,,,,,50,50
0300910000,Alma Center Sch Dist,0400910080,Lincoln Elementary,03,MA,section2PT,,,,,50,50
0300910000,Alma Center Sch Dist,0400910080,Lincoln Elementary,04,EL,section1,1,,,,44,46
0300910000,Alma Center Sch Dist,0400910080,Lincoln Elementary,04,MA,section1,1,,,,45,46
0300910000,Alma Center Sch Dist,0400910080,Lincoln Elementary,04,MA,section2PT,1,,,,45,46
0300910000,Alma Center Sch Dist,0400910080,Lincoln Elementary,05,EL,section1,,,,,38,38
0300910000,Alma Center Sch Dist,0400910080,Lincoln Elementary,05,MA,section1,,,,,38,38
0300910000,Alma Center Sch Dist,0400910080,Lincoln Elementary,05,MA,section2PT,,,,,38,38
0300910000,Alma Center Sch Dist,0400910080,Lincoln Elementary,06,EL,section1,,,,,47,46
0300910000,Alma Center Sch Dist,0400910080,Lincoln Elementary,06,MA,section1,,,,,46,46
0300910000,Alma Center Sch Dist,0400910080,Lincoln Elementary,06,MA,section2PT,,,,,46,46
0301050000,Almond-Bancroft Sch Dist,0401050020,Almond Elementary,03,EL,section1,27,,,,,27
0301050000,Almond-Bancroft Sch Dist,0401050020,Almond Elementary,03,MA,section1,3,,,,24,27
0301050000,Almond-Bancroft Sch Dist,0401050020,Almond Elementary,03,MA,section2PT,3,,,1,23,27
0301050000,Almond-Bancroft Sch Dist,0401050020,Almond Elementary,04,EL,section1,4,,14,,11,29
0301050000,Almond-Bancroft Sch Dist,0401050020,Almond Elementary,04,MA,section1,3,,,,26,29
0301050000,Almond-Bancroft Sch Dist,0401050020,Almond Elementary,04,MA,section2PT,3,,,,26,29
0301050000,Almond-Bancroft Sch Dist,0401050020,Almond Elementary,05,EL,section1,7,,17,,17,41
0301050000,Almond-Bancroft Sch Dist,0401050020,Almond Elementary,05,MA,section1,6,,,,35,41
0301050000,Almond-Bancroft Sch Dist,0401050020,Almond Elementary,05,MA,section2PT,6,,,,35,41
0301050000,Almond-Bancroft Sch Dist,0401050040,Almond High,06,EL,section1,,,,,23,23
0301050000,Almond-Bancroft Sch Dist,0401050040,Almond High,06,MA,section1,,,,,23,23
0301050000,Almond-Bancroft Sch Dist,0401050040,Almond High,06,MA,section2PT,,,,,23,23
0301050000,Almond-Bancroft Sch Dist,0401050040,Almond High,07,EL,section1,,,,,35,35
0301050000,Almond-Bancroft Sch Dist,0401050040,Almond High,07,MA,section1,,,,,35,35
0301050000,Almond-Bancroft Sch Dist,0401050040,Almond High,07,MA,section2PT,,,,,35,35
0301050000,Almond-Bancroft Sch Dist,0401050040,Almond High,08,EL,section1,2,,,,35,37
0301050000,Almond-Bancroft Sch Dist,0401050040,Almond High,08,MA,section1,2,,,,35,37
0301050000,Almond-Bancroft Sch Dist,0401050040,Almond High,08,MA,section2PT,2,,,,35,37
0301120000,Altoona Sch Dist,0401120060,Altoona Middle,06,EL,section1,3,,,,106,109
0301120000,Altoona Sch Dist,0401120060,Altoona Middle,06,MA,section1,3,,,,106,109
0301120000,Altoona Sch Dist,0401120060,Altoona Middle,06,MA,section2PT,3,,,,106,109
0301120000,Altoona Sch Dist,0401120060,Altoona Middle,07,EL,section1,4,,,,97,101
0301120000,Altoona Sch Dist,0401120060,Altoona Middle,07,MA,section1,4,,,,97,101
0301120000,Altoona Sch Dist,0401120060,Altoona Middle,07,MA,section2PT,4,,,,97,101
0301120000,Altoona Sch Dist,0401120060,Altoona Middle,08,EL,section1,4,,,,105,109
0301120000,Altoona Sch Dist,0401120060,Altoona Middle,08,MA,section1,4,,,,105,109
0301120000,Altoona Sch Dist,0401120060,Altoona Middle,08,MA,section2PT,4,,,,105,109
0301120000,Altoona Sch Dist,0401120080,Pedersen Elementary,03,EL,section1,5,,,,104,109
0301120000,Altoona Sch Dist,0401120080,Pedersen Elementary,03,MA,section1,5,,,,104,109
0301120000,Altoona Sch Dist,0401120080,Pedersen Elementary,03,MA,section2PT,5,,,,104,109
0301120000,Altoona Sch Dist,0401120100,Altoona Intermediate,04,EL,section1,2,,,,125,127
0301120000,Altoona Sch Dist,0401120100,Altoona Intermediate,04,MA,section1,2,,,,125,127
0301120000,Altoona Sch Dist,0401120100,Altoona Intermediate,04,MA,section2PT,2,,,,125,127
0301120000,Altoona Sch Dist,0401120100,Altoona Intermediate,05,EL,section1,,,,,115,115
0301120000,Altoona Sch Dist,0401120100,Altoona Intermediate,05,MA,section1,,,,,115,115
0301120000,Altoona Sch Dist,0401120100,Altoona Intermediate,05,MA,section2PT,,,,3,112,115
0301190000,Amery Sch Dist,0401190050,Amery Intermediate,03,EL,section1,3,,,,109,112
0301190000,Amery Sch Dist,0401190050,Amery Intermediate,03,MA,section1,6,,40,,66,112
0301190000,Amery Sch Dist,0401190050,Amery Intermediate,03,MA,section2PT,112,,,,,112
0301190000,Amery Sch Dist,0401190050,Amery Intermediate,04,EL,section1,6,,1,,102,109
0301190000,Amery Sch Dist,0401190050,Amery Intermediate,04,MA,section1,7,,2,,100,109
0301190000,Amery Sch Dist,0401190050,Amery Intermediate,04,MA,section2PT,109,,,,,109
0301190000,Amery Sch Dist,0401190050,Amery Intermediate,05,EL,section1,,,1,,112,113
0301190000,Amery Sch Dist,0401190050,Amery Intermediate,05,MA,section1,113,,,,,113
0301190000,Amery Sch Dist,0401190050,Amery Intermediate,05,MA,section2PT,113,,,,,113
0301190000,Amery Sch Dist,0401190060,Amery Middle,06,EL,section1,5,,,,110,115
0301190000,Amery Sch Dist,0401190060,Amery Middle,06,MA,section1,3,,,,112,115
0301190000,Amery Sch Dist,0401190060,Amery Middle,06,MA,section2PT,4,,,,111,115
0301190000,Amery Sch Dist,0401190060,Amery Middle,07,EL,section1,2,,,,106,108
0301190000,Amery Sch Dist,0401190060,Amery Middle,07,MA,section1,2,,,,106,108
0301190000,Amery Sch Dist,0401190060,Amery Middle,07,MA,section2PT,2,,,,106,108
0301190000,Amery Sch Dist,0401190060,Amery Middle,08,EL,section1,5,,,,111,115
0301190000,Amery Sch Dist,0401190060,Amery Middle,08,MA,section1,4,,,,112,115
0301190000,Amery Sch Dist,0401190060,Amery Middle,08,MA,section2PT,4,,,,112,115
0301260000,Tomorrow River Sch Dist,0401260020,Amherst Elementary,03,EL,section1,2,,,,76,78
0301260000,Tomorrow River Sch Dist,0401260020,Amherst Elementary,03,MA,section1,1,,1,,76,78
0301260000,Tomorrow River Sch Dist,0401260020,Amherst Elementary,03,MA,section2PT,1,,,1,76,78
0301260000,Tomorrow River Sch Dist,0401260020,Amherst Elementary,04,EL,section1,3,,1,,62,66
0301260000,Tomorrow River Sch Dist,0401260020,Amherst Elementary,04,MA,section1,2,,2,,62,66
0301260000,Tomorrow River Sch Dist,0401260020,Amherst Elementary,04,MA,section2PT,3,,,1,62,66
0301260000,Tomorrow River Sch Dist,0401260080,Amherst Middle,05,EL,section1,1,,,,65,66
0301260000,Tomorrow River Sch Dist,0401260080,Amherst Middle,05,MA,section1,1,,,,65,66
0301260000,Tomorrow River Sch Dist,0401260080,Amherst Middle,05,MA,section2PT,,,,1,65,66
0301260000,Tomorrow River Sch Dist,0401260080,Amherst Middle,06,EL,section1,2,,,,80,82
0301260000,Tomorrow River Sch Dist,0401260080,Amherst Middle,06,MA,section1,2,,,,80,82
0301260000,Tomorrow River Sch Dist,0401260080,Amherst Middle,06,MA,section2PT,1,,,1,80,82
0301260000,Tomorrow River Sch Dist,0401260080,Amherst Middle,07,EL,section1,1,,,,62,64
0301260000,Tomorrow River Sch Dist,0401260080,Amherst Middle,07,MA,section1,1,,,,62,64
0301260000,Tomorrow River Sch Dist,0401260080,Amherst Middle,07,MA,section2PT,1,,,,62,64
0301260000,Tomorrow River Sch Dist,0401260080,Amherst Middle,08,EL,section1,2,,,,87,89
0301260000,Tomorrow River Sch Dist,0401260080,Amherst Middle,08,MA,section1,2,,,,87,89
0301260000,Tomorrow River Sch Dist,0401260080,Amherst Middle,08,MA,section2PT,2,,,,87,89
0301260000,Tomorrow River Sch Dist,0401260100,Tomorrow River Community Charter,03,EL,section1,9,,5,,2,16
0301260000,Tomorrow River Sch Dist,0401260100,Tomorrow River Community Charter,03,MA,section1,16,,,,,16
0301260000,Tomorrow River Sch Dist,0401260100,Tomorrow River Community Charter,03,MA,section2PT,16,,,,,16
0301260000,Tomorrow River Sch Dist,0401260100,Tomorrow River Community Charter,04,EL,section1,2,,2,,1,5
0301260000,Tomorrow River Sch Dist,0401260100,Tomorrow River Community Charter,04,MA,section1,5,,,,,5
0301260000,Tomorrow River Sch Dist,0401260100,Tomorrow River Community Charter,04,MA,section2PT,5,,,,,5
0301260000,Tomorrow River Sch Dist,0401260100,Tomorrow River Community Charter,05,EL,section1,4,,3,,6,13
0301260000,Tomorrow River Sch Dist,0401260100,Tomorrow River Community Charter,05,MA,section1,13,,,,,13
0301260000,Tomorrow River Sch Dist,0401260100,Tomorrow River Community Charter,05,MA,section2PT,13,,,,,13
0301260000,Tomorrow River Sch Dist,0401260100,Tomorrow River Community Charter,06,EL,section1,,,,,1,1
0301260000,Tomorrow River Sch Dist,0401260100,Tomorrow River Community Charter,06,MA,section1,1,,,,,1
0301260000,Tomorrow River Sch Dist,0401260100,Tomorrow River Community Charter,06,MA,section2PT,1,,,,,1
0301260000,Tomorrow River Sch Dist,0401260850,Central Wisconsin Virtual School,08,EL,section1,1,,,,,1
0301260000,Tomorrow River Sch Dist,0401260850,Central Wisconsin Virtual School,08,MA,section1,1,,,,,1
0301260000,Tomorrow River Sch Dist,0401260850,Central Wisconsin Virtual School,08,MA,section2PT,1,,,,,1
0301400000,Antigo Unified Sch Dist,0401400050,Antigo Middle,06,EL,section1,12,,142,,20,174
0301400000,Antigo Unified Sch Dist,0401400050,Antigo Middle,06,MA,section1,6,,,,168,174
0301400000,Antigo Unified Sch Dist,0401400050,Antigo Middle,06,MA,section2PT,7,,,,167,174
0301400000,Antigo Unified Sch Dist,0401400050,Antigo Middle,07,EL,section1,7,,4,,171,182
0301400000,Antigo Unified Sch Dist,0401400050,Antigo Middle,07,MA,section1,7,,,,175,182
0301400000,Antigo Unified Sch Dist,0401400050,Antigo Middle,07,MA,section2PT,6,,,,176,182
0301400000,Antigo Unified Sch Dist,0401400050,Antigo Middle,08,EL,section1,6,,,,151,157
0301400000,Antigo Unified Sch Dist,0401400050,Antigo Middle,08,MA,section1,6,,,,151,157
0301400000,Antigo Unified Sch Dist,0401400050,Antigo Middle,08,MA,section2PT,6,,,,151,157
0301400000,Antigo Unified Sch Dist,0401400080,Crestwood Elementary,03,EL,section1,1,,1,,13,15
0301400000,Antigo Unified Sch Dist,0401400080,Crestwood Elementary,03,MA,section1,1,,13,,1,15
0301400000,Antigo Unified Sch Dist,0401400080,Crestwood Elementary,03,MA,section2PT,15,,,,,15
0301400000,Antigo Unified Sch Dist,0401400080,Crestwood Elementary,04,EL,section1,,,,,16,16
0301400000,Antigo Unified Sch Dist,0401400080,Crestwood Elementary,04,MA,section1,,,,,16,16
0301400000,Antigo Unified Sch Dist,0401400080,Crestwood Elementary,04,MA,section2PT,16,,,,,16
0301400000,Antigo Unified Sch Dist,0401400080,Crestwood Elementary,05,EL,section1,,,,,26,26
0301400000,Antigo Unified Sch Dist,0401400080,Crestwood Elementary,05,MA,section1,,,,,26,26
0301400000,Antigo Unified Sch Dist,0401400080,Crestwood Elementary,05,MA,section2PT,,,,,26,26
0301400000,Antigo Unified Sch Dist,0401400100,East Elementary,03,EL,section1,,,,,17,17
0301400000,Antigo Unified Sch Dist,0401400100,East Elementary,03,MA,section1,,,,,17,17
0301400000,Antigo Unified Sch Dist,0401400100,East Elementary,03,MA,section2PT,17,,,,,17
0301400000,Antigo Unified Sch Dist,0401400100,East Elementary,04,EL,section1,,,,,27,27
0301400000,Antigo Unified Sch Dist,0401400100,East Elementary,04,MA,section1,,,,,27,27
0301400000,Antigo Unified Sch Dist,0401400100,East Elementary,04,MA,section2PT,,,,,27,27
0301400000,Antigo Unified Sch Dist,0401400100,East Elementary,05,EL,section1,2,,,,23,25
0301400000,Antigo Unified Sch Dist,0401400100,East Elementary,05,MA,section1,2,,,,23,25
0301400000,Antigo Unified Sch Dist,0401400100,East Elementary,05,MA,section2PT,2,,,,23,25
0301400000,Antigo Unified Sch Dist,0401400160,Mattoon Elementary,03,EL,section1,,,,,18,18
0301400000,Antigo Unified Sch Dist,0401400160,Mattoon Elementary,03,MA,section1,,,,,18,18
0301400000,Antigo Unified Sch Dist,0401400160,Mattoon Elementary,03,MA,section2PT,18,,,,,18
0301400000,Antigo Unified Sch Dist,0401400160,Mattoon Elementary,04,EL,section1,,,,,24,24
0301400000,Antigo Unified Sch Dist,0401400160,Mattoon Elementary,04,MA,section1,,,,,24,24
0301400000,Antigo Unified Sch Dist,0401400160,Mattoon Elementary,04,MA,section2PT,,,,,24,24
0301400000,Antigo Unified Sch Dist,0401400160,Mattoon Elementary,05,EL,section1,,,,,12,12
0301400000,Antigo Unified Sch Dist,0401400160,Mattoon Elementary,05,MA,section1,,,,,12,12
0301400000,Antigo Unified Sch Dist,0401400160,Mattoon Elementary,05,MA,section2PT,,,,1,11,12
0301400000,Antigo Unified Sch Dist,0401400180,North Elementary,03,EL,section1,6,,21,,,27
0301400000,Antigo Unified Sch Dist,0401400180,North Elementary,03,MA,section1,27,,,,,27
0301400000,Antigo Unified Sch Dist,0401400180,North Elementary,03,MA,section2PT,27,,,,,27
0301400000,Antigo Unified Sch Dist,0401400180,North Elementary,04,EL,section1,4,,1,,26,31
0301400000,Antigo Unified Sch Dist,0401400180,North Elementary,04,MA,section1,4,,,,27,31
0301400000,Antigo Unified Sch Dist,0401400180,North Elementary,04,MA,section2PT,6,,,,25,31
0301400000,Antigo Unified Sch Dist,0401400180,North Elementary,05,EL,section1,,,,,28,28
0301400000,Antigo Unified Sch Dist,0401400180,North Elementary,05,MA,section1,,,,,28,28
0301400000,Antigo Unified Sch Dist,0401400180,North Elementary,05,MA,section2PT,,,,,28,28
0301400000,Antigo Unified Sch Dist,0401400200,Pleasant View Elementary,03,EL,section1,,,,,12,12
0301400000,Antigo Unified Sch Dist,0401400200,Pleasant View Elementary,03,MA,section1,,,,,12,12
0301400000,Antigo Unified Sch Dist,0401400200,Pleasant View Elementary,03,MA,section2PT,12,,,,,12
0301400000,Antigo Unified Sch Dist,0401400200,Pleasant View Elementary,04,EL,section1,,,,,19,19
0301400000,Antigo Unified Sch Dist,0401400200,Pleasant View Elementary,04,MA,section1,,,,,19,19
0301400000,Antigo Unified Sch Dist,0401400200,Pleasant View Elementary,04,MA,section2PT,,,,,19,19
0301400000,Antigo Unified Sch Dist,0401400200,Pleasant View Elementary,05,EL,section1,,,,,22,22
0301400000,Antigo Unified Sch Dist,0401400200,Pleasant View Elementary,05,MA,section1,,,,,22,22
0301400000,Antigo Unified Sch Dist,0401400200,Pleasant View Elementary,05,MA,section2PT,,,,,22,22
0301400000,Antigo Unified Sch Dist,0401400260,Spring Valley Elementary,03,EL,section1,,,,,19,19
